species_id,scientific_name,aphia_id_lsid,family,genus,common_name,habitat_zone,depth_min_m,depth_max_m,ecological_response,evidence_source,temp_pref_min_c,temp_pref_max_c,salinity_min_psu,salinity_max_psu,hypoxia_avoidance_threshold_umol_kg
PARALOMIS_CERES,Paralomis ceres,urn:lsid:marinespecies.org:taxname:550568,Lithodidae,Paralomis,,benthic,656.8,1482.3,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
ALBUNEA_THURSTONI,Albunea thurstoni,urn:lsid:marinespecies.org:taxname:210323,Albuneidae,Albunea,,benthic,,,Marine organism residing in benthic zone across the Indian Ocean basin. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,SeaLifeBase,24.0,29.5,32.0,36.5,60.0
ALBUNEA_MICROPS,Albunea microps,urn:lsid:marinespecies.org:taxname:467789,Albuneidae,Albunea,,benthic,3.0,45.0,Habitat zone: benthic. Biology & Ecological Notes: Inhabits sand to sandy mud and shell-grit substrates (Ref. 8423). Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,SeaLifeBase,24.0,29.5,32.0,36.5,60.0
SOUSA_PLUMBEA,Sousa plumbea,urn:lsid:marinespecies.org:taxname:383586,Delphinidae,Sousa,,pelagic,,,Marine organism residing in pelagic zone across the Indian Ocean basin. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,SeaLifeBase,24.0,29.5,32.0,36.5,60.0
STENELLA_LONGIROSTRIS,Stenella longirostris,urn:lsid:marinespecies.org:taxname:137109,Delphinidae,Stenella,Spinner dolphin,pelagic,0.0,4330.0,"Habitat zone: pelagic. Biology & Ecological Notes: Dolphins are directly caught for use as shark-bait in Sta. Ana and Aparri, Philippines (Ref. 77119). Reside in coastal waters  (Ref. 97368).  May seek shelter in shallow sandy bottoms to protect themselves from predators (Ref. 80498).  Observed year-round during daytime in sheltered bays or within lagoons.  Forming schools ranging in size from 15 to 30 individuals to as large as 100 to 140 individuals (Ref. 97372).  Feeds predominantly at night  on deeper, offshore waters (Ref. 122680) and rest during much of the day (Ref. 1394); on small (5 to 10 cm long) fishes, shrimps, and squid in deep offshore waters from the mesopelagic boundary.  Follows the diel horizontal migration as well as the vertical migrations of its prey (Refs. 97368). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
BALAENOPTERA_MUSCULUS,Balaenoptera musculus,urn:lsid:marinespecies.org:taxname:137090,Balaenopteridae,Balaenoptera,Blue whale,pelagic,80.0,500.0,"Habitat zone: pelagic. Biology & Ecological Notes: The largest whales of the world's oceans. They can be seen from the equator to the pack ice edges in both hemispheres, with most poleward intrusions in both hemispheres in summer.  Some are resident, others are migratory.  Feeds on krill (Ref. 1394).  Feeds at depths less than 100 m (Ref. 1005).  From the time faster catcher boats and explosive harpoons made them catchable, blue whales were hunted relentlessly from the late 19th through the mid 20th centuries.  As the largest whales, they were the most sought after of the rorquals.  Although most populations remain well below pre-exploitation levels, some stocks (such as those that feed off California) have shown encouraging signs of recovery since protection by the International Whaling Commission (IWC) in 1965.  At least in the eastern North Atlantic and the eastern North Pacific, numbers appear to be on the rise (Ref. 1394). In general, they occur in coastal, shelf, and oceanic waters (Ref. 122680).  They can be seen from the equator to the pack ice edges in both hemispheres, with most poleward intrusions in both hemispheres in summer.  Some are resident, others are migratory (Ref. 1394).  Known as 'gulpers,' feeding in separate events, often lunging at large schools of fish (Ref. 122680).  Feeds on krill (Ref. 1394).  Feeds at depths less than 100 m (Ref. 1005). Environmental tolerance limits: Preferred Temp 12.0–19.0 °C; Salinity 34.5–35.8 PSU; Hypoxia avoidance floor 30.0 µmol/kg.",SeaLifeBase,12.0,19.0,34.5,35.8,30.0
GLOBICEPHALA_MACRORHYNCHUS,Globicephala macrorhynchus,urn:lsid:marinespecies.org:taxname:137096,Delphinidae,Globicephala,Short-finned pilot whale,pelagic,0.0,2418.0,"Habitat zone: pelagic. Biology & Ecological Notes: Found in deep offshore areas (Ref. 936, 122680).  Their main foraging grounds are those with high density of squid (Ref. 122680), its primary food.  Sometimes feeds on fish (Refs. 936, 122680) and octopus (Ref. 122680).  They are gregarious, rarely found solitary (Ref. 114960). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
CETACEA,Cetacea,urn:lsid:marinespecies.org:taxname:2688,,Cetacea,,marine_unclassified,,,Marine taxa classified under family unassigned in the Indian Ocean basin. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,WoRMS/IndOBIS,24.0,29.5,32.0,36.5,60.0
TURSIOPS_TRUNCATUS,Tursiops truncatus,urn:lsid:marinespecies.org:taxname:137111,Delphinidae,Tursiops,Bottlenose dolphin,pelagic,0.0,1316.0,"Habitat zone: pelagic. Biology & Ecological Notes: Preyed upon by great white sharks (Ref. 32140).  Dolphins are directly caught for use as shark-bait in Sta. Ana and Aparri, Philippines (Ref. 77119). Found primarily in coastal and inshore regions of tropical and temperate waters of the world (Ref. 936) and deeper channels between islands (Ref. 122680).  Also inhabits pelagic waters, such as those in the eastern tropical Pacific (Ref. 936).  In herds of less than 20 individuals (Ref. 801).  Feeds either cooperatively or in solitary. They can obtain prey via 'fish whacking' and steering fish onto mudflats (Ref. 122680).  Feeds on fish (Refs. 801, 936) crustaceans, and cephalopods (Ref. 801). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
BALAENOPTERA_BOREALIS,Balaenoptera borealis,urn:lsid:marinespecies.org:taxname:137088,Balaenopteridae,Balaenoptera,Sei whale,pelagic,0.0,342.0,"Habitat zone: pelagic. Biology & Ecological Notes: Largest of the sei whales.  As the larger rorquals became scarce in recent decades, hunting pressure on sei, Bryde’s, and minke whales increased, largely in the Antarctic.  Although heavily depleted, sei whales have recovered somewhat more successfully from hunting than other large baleen whales (Ref. 1394). Generally found in coastal, shelf and oceanic waters (Ref. 122680).  Feeds at the shelf break and seaward throughout the summer (Ref. 96832).  Restricted to mid-latitude temperate zones (Ref. 1394).  Uses both skimming and gulping as feeding strategies (Ref. 122680).  Skims copepods and other small prey types (Ref. 1394); also feeds on squids (Ref. 122680), euphausiids and a variety of fish including saury and whiting.  Also a ""swallower.""  Zooplankton concentrations influence where the whales feed.  Migratory  (Ref. 96832).  Commonly in groups of 2 to 5 individuals (Ref. 801). Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.",SeaLifeBase,18.0,26.0,34.0,36.2,45.0
ORCINUS_ORCA,Orcinus orca,urn:lsid:marinespecies.org:taxname:137102,Delphinidae,Orcinus,Killer whale,pelagic,0.0,2652.0,"Habitat zone: pelagic. Biology & Ecological Notes: Transient migration (Ref. 8689). Lives in matrilines throughout their lifetime (Ref. 97337).  Commonly found in nearshore, cold temperate to subpolar waters (Refs. 1394, 936).  Forms large social groups and strong social bonds.  Feeds cooperatively (Ref. 122680).  Feeds on sharks, large baleen whales (Ref. 122680), all oceanic cetaceans, pinniped, penguins, and other seabirds, leatherback turtles, squid and many types of fish (Refs. 1394, 936). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
TURSIOPS_ADUNCUS,Tursiops aduncus,urn:lsid:marinespecies.org:taxname:254983,Delphinidae,Tursiops,Indo-Pacific bottlenose dolphin,pelagic-oceanic,0.0,2000.0,"Habitat zone: pelagic-oceanic. Biology & Ecological Notes: They prefer living on seagrass meadows and rocky substrata (Ref. 114971).  Feeds on bony fishes and cephalopods (Ref. 84677).  Attacked and preyed upon by tiger sharks <i>Galeocerdo cuvier</i> (Ref. 104930).  This species was reported to display complex prey handling of the  benthic-dwelling Maori octopus (<i>Macroctopus maorum</i>), processing its prey by shaking and tossing (Ref. 122728).  The same octopus was reported to have asphyxiated an adult male of this species, with the octopus  arms protruding from the mouth and the rest of the body blocking the pharynx, larynx and
esophagus (Ref. 122729).  Occurs in pods of various numbers (Ref. 129713). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
GRAMPUS_GRISEUS,Grampus griseus,urn:lsid:marinespecies.org:taxname:137098,Delphinidae,Grampus,Risso's dolphin,pelagic,0.0,3510.0,"Habitat zone: pelagic. Biology & Ecological Notes: Inhabits deep oceanic and continental slope waters of the tropics through the temperate regions in both hemispheres.  Feeds os (Ref. 1394).  Feeds in deeper waters (Ref. 122680) on crustaceans and cephalopods, but prefers squid (Ref. 1394). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
STENELLA_ATTENUATA,Stenella attenuata,urn:lsid:marinespecies.org:taxname:137105,Delphinidae,Stenella,Pantropical spotted dolphin,pelagic,0.0,5300.0,"Habitat zone: pelagic. Biology & Ecological Notes: Major threats to this species is incidental catches specifically by tuna fishermen in the eastern Pacific, and as sustainable by-catch with the use of gillnets in the Pacific and northern Indian Ocean (Ref. 85211). Spends the majority of their day nearshore, often between 90 to 300 m (Ref. 122680 but they also frequent oceanic waters (Ref. 801).  They move further offshore at night into deeper waters to search for prey (Ref. 122680).  Feeds largely on epipelagic fish and squid (Ref. 1394).  It associates with parasites such as nematodes, cestodes, trematodes and acanthocephalans and commensals that includes cyamids amphipod, and barnacles (Ref. 85211).  Social groups are formed by a range of a few individuals to thousands. It is composed of cow-calf pairs, adults and juveniles and they are grouped together or separately by juveniles or breeding groups. Their school size varies within the day (Ref. 85211). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
STENELLA_COERULEOALBA,Stenella coeruleoalba,urn:lsid:marinespecies.org:taxname:137107,Delphinidae,Stenella,Striped dolphin,pelagic-oceanic,0.0,4600.0,"Habitat zone: pelagic-oceanic. Biology & Ecological Notes: Inhabits warm waters (Ref. 1394).  Feeds on small, mid-water squid and fish, especially lanternfish (Ref. 1394).  Preyed upon by the great white shark (Ref. 36856) and blue sharks (Ref. 50255). A warm water species (Ref. 1394).  Occasionally occurs in neritic habitats.  Abundant in offshore and erratic over the shelf of Bay of Biscay (Ref. 81175).  Feeds throughout the water column (Ref. 122680).  Feeds on small, mid-water squid and fish, especially lanternfish (Ref. 1394).  Although an oceanic species, they make temporary incursions over neritic and coastal habitats to feed.  Oceanic prey are from mesopelagic community while neritic prey are mostly epibenthic (Ref. 81175). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
SOUSA_CHINENSIS,Sousa chinensis,urn:lsid:marinespecies.org:taxname:220226,Delphinidae,Sousa,Pacific humpback dolphin,pelagic-oceanic,0.0,500.0,"Habitat zone: pelagic-oceanic. Biology & Ecological Notes: Inhabit tropical to warm temperate coastal waters and they enter rivers, estuaries, and mangroves.  Feeding is primarily on nearshore, estuaries and reef fish (Ref. 1394). Inhabits  tropical to warm temperate coastal waters and they enter rivers, estuaries, and mangroves (Ref. 1394).  Usually in groups of 10 or fewer individuals (Ref. 801).  Feeding is primarily on nearshore, estuaries, specifically on reef fish (Ref. 1394).  Feeds on bony fishes  (Ref. 85079) and squids (Ref. 80529).  Great white shark <i>Carcharodon carcharias</i> is reported to be its potential predator (Ref. 104929). Environmental tolerance limits: Preferred Temp 12.0–19.0 °C; Salinity 34.5–35.8 PSU; Hypoxia avoidance floor 30.0 µmol/kg.",SeaLifeBase,12.0,19.0,34.5,35.8,30.0
BALAENOPTERA_EDENI,Balaenoptera edeni,urn:lsid:marinespecies.org:taxname:137089,Balaenopteridae,Balaenoptera,Eden's whale,pelagic,0.0,3000.0,"Habitat zone: pelagic. Biology & Ecological Notes: Depth range based on reported depth in Angola (Ref. 83346). Found both offshore, near the coast in many areas (Ref. 1394) and shelf waters (Ref. 122680).  Commonly in groups of 10 to 20 individuals on feeding grounds (Ref. 801).   They are active lunge feeders (Ref. 1394).  Known as 'gulpers,' feeding in separate events, often lunging at large schools of fish (Ref. 122680).  Feeds primarily on fish, but they also take invertebrates (Ref. 1394) like krill (Ref. 122680).  Oceanodromous (Ref. 75906). Environmental tolerance limits: Preferred Temp 4.0–12.0 °C; Salinity 34.6–35.2 PSU; Hypoxia avoidance floor 20.0 µmol/kg.",SeaLifeBase,4.0,12.0,34.6,35.2,20.0
MEGAPTERA_NOVAEANGLIAE,Megaptera novaeangliae,urn:lsid:marinespecies.org:taxname:137092,Balaenopteridae,Megaptera,Humpback whale,pelagic,0.0,616.0,"Habitat zone: pelagic. Biology & Ecological Notes: They migrate from tropics (breeding areas) to polar or sub-polar regions, reaching the ice edges in both hemispheres (feeding areas); their migrations take them through oceanic zones (Ref. 1394).  Maximum depth from Ref. 122827.  Feed and breed in coastal waters, often near human population centres, and this helps make them one of the most familiar of the large whales.  Feeds on krill and small schooling fish (Ref. 1394).  According to a study in the Philippines, Babuyan Islands (121°36’00"", 19°18’00)  was verified as a breeding ground for this species, and humpback whale songs were recorded during this season.  Social groups observed were lone adult, mother-calf pairs, two adults, mother-calf-escort, and a surface active mating group of 3 to 4 individuals (Ref. 77119).  Adults length 1600 cm in Ref. 1394.  Threats to this species are dynamite and cyanide fishing, pollution, and intrusion of foreign commercial fishing vessels (Ref. 77119), unregulated fishing activities of Taiwanese vessels, i.e. long-line and drift net fishing, and unconfirmed reports of pirate whaling (Ref. 77118).  There were nine distinctive themes of humpback whale songs identified wherein 7 of which were common in the Philippines and Hawaii (Ref. 77118). Feeds and breeds in coastal waters, often near human population centres, and this helps make them one of the most familiar of the large whales.  They migrate from tropics (breeding areas) to polar or sub-polar regions, reaching the ice edges in both hemispheres (feeding areas); their migrations take them through oceanic zones (Ref. 1394).  They pefer warm shallow waters to breed, usually near offshore reefs, islands, or continental shores. Feeding grounds are characterized by cold, productive, shallow waters (Ref. 122680).  Feeds on krill and small schooling fish (Ref. 1394).  According to a study in the Philippines, Babuyan Islands (121°36’00"", 19°18’00)  was verified as a breeding ground for this species, and humpback whale songs were recorded during this season.  Social groups observed were lone adult, mother-calf pairs, two adults, mother-calf-escort, and a surface active mating group of 3 to 4 individuals (Ref. 77119). Environmental tolerance limits: Preferred Temp 12.0–19.0 °C; Salinity 34.5–35.8 PSU; Hypoxia avoidance floor 30.0 µmol/kg.",SeaLifeBase,12.0,19.0,34.5,35.8,30.0
PETROLISTHES_SCABRICULUS,Petrolisthes scabriculus,urn:lsid:marinespecies.org:taxname:414639,Porcellanidae,Petrolisthes,,benthic,0.0,76.0,Habitat zone: benthic. Biology & Ecological Notes: Found along the littoral to sublittoral zones (Ref. 77016). Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,SeaLifeBase,24.0,29.5,32.0,36.5,60.0
NEOHARRIOTTA_PUMILA,Neoharriotta pumila,urn:lsid:marinespecies.org:taxname:221462,Rhinochimaeridae,Neoharriotta,,bathydemersal,,380.0,Habitat zone: bathydemersal. Biology & Ecological Notes: Oviparous (Ref. 205).  Eggs are encased in horny shells (Ref. 205). Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase,18.0,26.0,34.0,36.2,45.0
BENTHOBATIS_MORESBYI,Benthobatis moresbyi,urn:lsid:marinespecies.org:taxname:279904,Narcinidae,Benthobatis,Dark blind ray,bathydemersal,787.0,1071.0,"Habitat zone: bathydemersal. Biology & Ecological Notes: A benthic species on continental slope. Probably suction feeds on bottom-dwelling invertebrates based on its oral morphology. Biology little known. Maturity size uncertain, probably close to 18 cm TL in males (Ref. 114953). Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.",FishBase,18.0,26.0,34.0,36.2,45.0
CHILOSCYLLIUM_GRISEUM,Chiloscyllium griseum,urn:lsid:marinespecies.org:taxname:277829,Hemiscylliidae,Chiloscyllium,Grey bambooshark,reef-associated,5.0,100.0,"Habitat zone: reef-associated. Biology & Ecological Notes: A common inshore bottom shark (Ref. 247).  Often found in estuaries (Ref. 4832).  Probably feeds mainly on invertebrates (Ref. 247, 43278).  Oviparous (Ref. 43278, 50449).  Utilized as a food fish (Ref. 171). Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.",FishBase,24.0,29.5,32.0,36.5,60.0
GLYPHOCRANGON_INVESTIGATORIS,Glyphocrangon investigatoris,urn:lsid:marinespecies.org:taxname:515700,Glyphocrangonidae,Glyphocrangon,,benthic,,900.0,Habitat zone: benthic. Biology & Ecological Notes: Found on green sandy mud with many Foraminifera (Ref. 78642). Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,SeaLifeBase,18.0,26.0,34.0,36.2,45.0
ASCETOAXINUS_RAVICHANDRANI,Ascetoaxinus ravichandrani,urn:lsid:marinespecies.org:taxname:1754208,Thyasiridae,Ascetoaxinus,,marine_unclassified,,,Marine taxa classified under family Thyasiridae in the Indian Ocean basin. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,WoRMS/IndOBIS,24.0,29.5,32.0,36.5,60.0
DIPTURUS,Dipturus,urn:lsid:marinespecies.org:taxname:105762,Rajidae,Dipturus,,bathydemersal,200.4,758.9,Habitat zone: bathydemersal. Biology & Ecological Notes: Genus-level ecological classification: Predominantly bathydemersal marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
GALATHEA,Galathea,urn:lsid:marinespecies.org:taxname:106834,Galatheidae,Galathea,,benthic,43.1,269.2,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
WANGIELLA_DICOLLARIA,Wangiella dicollaria,urn:lsid:marinespecies.org:taxname:827027,Dictyocystidae,Wangiella,,marine_unclassified,,,Marine taxa classified under family Dictyocystidae in the Indian Ocean basin. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,WoRMS/IndOBIS,24.0,29.5,32.0,36.5,60.0
CUAPETES_PURUSHOTHAMANI,Cuapetes purushothamani,urn:lsid:marinespecies.org:taxname:1663106,Palaemonidae,Cuapetes,,benthic,5.6,54.0,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,24.0,29.5,32.0,36.5,60.0
RHINOBATOS_ANNANDALEI,Rhinobatos annandalei,urn:lsid:marinespecies.org:taxname:271594,Rhinobatidae,Rhinobatos,Annandale's guitarfish,demersal,40.0,90.0,"Habitat zone: demersal. Biology & Ecological Notes: Primarily benthic (Ref. 114953). Occurs mainly in the marine environment, but also enters the lower reaches of rivers.   Ovoviviparous (Ref. 50449). Males mature by 68 cm TL; born at ca. 20 cm TL. Females produces litters up to 6 pups (Ref. 114953). Minimum depth range from Ref. 121775. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.",FishBase,18.0,26.0,34.0,36.2,45.0
GALATHEA_KALINGASAGARA,Galathea kalingasagara,urn:lsid:marinespecies.org:taxname:1767981,Galatheidae,Galathea,,benthic,43.1,269.2,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
HYDROLAGUS,Hydrolagus,urn:lsid:marinespecies.org:taxname:105734,Chimaeridae,Hydrolagus,,bathydemersal,471.5,1339.2,Habitat zone: bathydemersal. Biology & Ecological Notes: Genus-level ecological classification: Predominantly bathydemersal marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
GYMNOTHORAX_RETICULARIS,Gymnothorax reticularis,urn:lsid:marinespecies.org:taxname:217511,Muraenidae,Gymnothorax,,demersal,,56.0,"Habitat zone: demersal. Biology & Ecological Notes: Caught at great depths; ca 100 m on sandy gravel bottom (Ref. 11230, 48635).  Often caught by trawls.  Used in Chinese medicine (Ref. 12166). Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.",FishBase,24.0,29.5,32.0,36.5,60.0
